id,user_id,location_name,latitude,longitude,location_description,created_at,updated_at,approved
3003,21,"10 km south to Aqaba, Nature Reserve, Gulf of Aqaba, Red Sea",29.4414,34.96681,,,,true
3192,21,"1.1 km off Stromboli village, Aeolian Islands, Italy, southern Tyrrhenian
 Sea",38.806328,15.255427,,,,true
2950,21,"250 km west of Clearwater, Florida, USA",27.7523,-85.3262,,,,true
2777,21,"25 km NW of Bermuda, Caribbean Sea",32.58333,-64.91667,,,,true
3189,21,"32 km off Chañaral, Patagonia, Chile",-27.022222,-70.806667,,,,true
467,1,"3-Hill Shoals, Bermuda Island",32.4083,-64.786,"",2015-08-03 05:28:33 UTC,2015-08-03 05:28:33 UTC,true
3068,21,"4 Frére, Madagascar",-12.99425,48.487467,,,,true
132,1,"Abrolhos, Australia",-28.695921,113.647341,"min_depth=0, max_depth=7, start_year=2005, end_year=2005, methodology=DGGE",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2809,21,"Abrolhos reef, Brazil",-17.9691745,-38.70172229,,,,true
517,1,"Abrolhos Reef Complex, Brazil",-17.968303,-38.700152,"",2015-11-03 08:00:21 UTC,2015-11-03 08:00:21 UTC,true
426,1,Abu Qalawa,27.2444778,33.7930128,"Red Sea, close to Berenice",2015-06-25 05:16:34 UTC,2015-06-25 05:25:25 UTC,true
3107,21,"Abu Zanima, Gulf of Suez",29.04673,33.091599,,,,true
2816,21,"Acajutla, El Salvador",13.57409349,-89.84191314,,,,true
2272,21,"Acapulco, Mexico",16.7891,-99.8363,,,,true
2288,21,"Adak island, Alaska",51.7542,-176.6787,,,,true
2504,21,"Addu atoll, Maldives, Indian Ocean",-0.631273343,73.16735157,,,,true
63,1,"Admiral Patch Reef, Florida Keys",25.0446,-80.3945,"min_depth=1, max_depth=2, start_year=2003, end_year=2005, methodology=DGGE",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2747,21,"Admiralty Gulf, Cape Voltaire, Kimberley, Western Australia",-14.26194,125.57389,,,,true
2484,21,"Agatti island, Laccadives",10.85885,72.195004,,,,true
3006,21,"Agattu, Aleutian islands",52.24167,174.225,,,,true
2654,21,"Agattu Island, Aleutian Islands, East Bering Sea",52.01667,174.65,,,,true
2078,21,"Ag. Vasso, Pelio, Greece",39.0847,23.1247,,,,true
602,1,"Aka_Island_1, Japan",26.198889,127.280556,"",2017-07-23 11:22:01 UTC,2017-07-23 11:22:01 UTC,true
2516,21,"Akajima Island, Okinawa, Japan",26.1707,127.2305,,,,true
427,1,Al-Ahyaa,27.2444778,33.7930128,"",2015-06-25 05:23:49 UTC,2015-06-25 05:23:49 UTC,true
569,1,Al Aqah,25.4929462,56.36352265,"Reef fringing Al Aqah (Snoopy Island), Fujairah, UAE
",2017-03-06 08:56:13 UTC,2017-03-06 08:56:13 UTC,true
3010,21,"Albatross Expedition, stn Alb-3399, west coast of Central America",1.116667,-81.06667,,,,true
3296,21,"Albatross sta. 2668, off Fernandina",30.966667,-80.066667,,,,true
2292,21,"Aleutian Islands, Alaska",54.4275,-164.6557,,,,true
2648,21,"Algoa Bay, Ry Banks, Eastern Cape, South Africa",-33.98495,25.8629,,,,true
2645,21,"Algoa Bay, White Sands, Eastern Cape, South Africa",-33.99833,25.7087,,,,true
3168,21,"Al Idrisi, Marrocco",35.2375,-6.612,,,,true
161,1,"Aliwal Shoal, South Africa",-30.2582,30.82801667,"min_depth=18, max_depth=18, start_year=0, end_year=0, methodology=DGGE",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2502,21,"Aliwal Shoal, South-Africa ",-30.26,30.82667,,,,true
2213,21,"Alki South, Washington",47.5694,-122.4197,,,,true
67,1,"Alligator Reef, Florida Keys",24.8424,-80.6244,"min_depth=12, max_depth=12, start_year=2003, end_year=2005, methodology=DGGE",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2517,21,"Alotau, Milne Bay, Papua New Guinea",-10.319204,150.456905,,,,true
2255,21,"Altare, Portofino, Italy",44.3917,9.4067,,,,true
2389,21,"Ama Beach, Zamami Island, Okinawa, Japan",26.2261,127.2925,,,,true
599,1,"Amakusa_2, Amakusa",32.166667,130.033333,"",2017-07-23 11:05:13 UTC,2017-07-23 11:05:13 UTC,true
116,1,"Amakusa, Japan",31.726034,129.895052,"min_depth=4, max_depth=6, start_year=0, end_year=0, methodology=Cloning",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
115,1,"Amami, Japan",28.234855,129.53667,"min_depth=1, max_depth=5, start_year=0, end_year=0, methodology=Cloning",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
3158,21,"Amargal, Colombian Pacific",5.57982,-77.5141,,,,true
2079,21,"Ambelos, Chalkidiki, Greece",39.9555,23.9882,,,,true
2496,21,"Ambon Bay, Banda Sea, Indonesia",-3.638077,128.232332,,,,true
200,1,American Samoa,-14.269344,-170.698947,"",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2978,21,"Amlia Island, Andreanof Islands, Aleutians ",52.51583,-173.4931,,,,true
2753,21,Anacapa Island,34.01667,-119.3619,,,,true
2631,21,"Andaman islands, Indian Ocean",12.440298,92.83066,,,,true
103,1,Andaman Sea,7.43241601,98.46419501,"min_depth=2, max_depth=6, start_year=2007, end_year=2007, methodology=DGGE",2014-12-04 23:29:59 UTC,2014-12-04 23:29:59 UTC,true
2618,21,"Anejima island, Ogasawara, Bonin Islands, Japan",26.555422,142.155713,,,,true
2695,21,"Anguilla, Caribbean Sea",18.21965112,-63.04567155,,,,true
3008,21,Antarctica,-69.589331,51.91946,,,,true
2981,21,"Antarctica, Eastern Weddell Sea (Polarstern cruise ANT XVII/3, stn. 085-1)",-71.18833,-12.25667,,,,true
2982,21,"Antarctica, Eastern Weddell Sea (Polarstern cruise
ANT-XXIX/9 (PS82), stn. 349-1)",-70.92617,-10.47033,,,,true
2980,21,"Antarctica, Eastern Weddell Sea (Polarstern cruise ANT
XXIX/9, stn)",-76.32217,-29.14067,,,,true
